Run!	Lari!
Please turn off the lights.	Tolong matikan lampu-lampunya.
Please write with a pencil.	Tolong tulis menggunakan pensil.
Probably he will come soon.	Kemungkinan dia akan segera datang.
Put in a little more sugar.	Tambahkan sedikit gula.
She bought a loaf of bread.	Dia membeli sepotong roti.
She drives an imported car.	Ia mengendarai mobil impor.
She forced him to sit down.	Dia memaksanya untuk duduk.
She has long arms and legs.	Dia memiliki lengan dan kaki yang panjang.
She is playing with a doll.	Dia bermain dengan boneka.
She took care of his wound.	Ia merawat lukanya.
She was invited to a party.	Dia telah diundang untuk sebuah pesta
She went there last summer.	Dia pergi ke sana musim panas lalu.
So what are you suggesting?	Jadi kau menyarankan apa?
Something's not right here.	Ada sesuatu yang ga bener nih.
Suicide is a desperate act.	Bunuh diri adalah tindakan nekat.
Take the road on the right.	Ambil jalan di sebelah kanan.
That's all Tom talks about.	Itulah yang dibicarakan oleh Tom.
That's your responsibility.	Itu tanggungjawabmu.
The air felt a little cold.	Udaranya terasa agak dingin.
The archer killed the deer.	Pemanah itu membunuh rusanya.
The fountain is over there.	Air mancurnya ada di sebelah sana.
The job is almost finished.	Pekerjaannya hampir selesai.
The meeting started at ten.	Rapatnya dimulai pada pukul sepuluh.
The meeting was last month.	Rapat itu dilaksanakan sebulan yang lalu.
The painting won't be sold.	Lukisan itu tidak akan dijual.
The plane landed at Narita.	Pesawat itu mendarat di Narita.
The rain changed into snow.	Hujannya berubah menjadi salju.
The rain continued all day.	Hujannya berlanjut hingga sehari penuh.
The world is a crazy place.	Dunia adalah tempat yang gila.
There is no room for doubt.	Tidak ada ruang untuk ragu.
They asked after my father.	Mereka menanyakan ayah saya.
They called their son John.	Mereka menamai anak laki-laki mereka John.
They just want to have fun.	Mereka hanya ingin bersenang-senang.
This aroused her suspicion.	Hal ini membuatnya merasa curiga.
This book deals with China.	Buku ini berkaitan dengan Cina.
This is never going to end.	Hal ini tidak akan pernah berakhir.
This man is very, very old.	Pria ini benar-benar sangat tua.
Tom and I aren't strangers.	Tom dan aku bukan orang asing.
Tom and Mary are here, too.	Tom dan Mary juga ada di sini.
Tom and Mary are outsiders.	Tom dan Mary adalah orang luar.
Tom can't make up his mind.	Tom tidak dapat memutuskannya.
Tom doesn't have an office.	Tom tidak punya kantor.
Tom goes to school on foot.	Tom ke sekolah dengan berjalan kaki.
Tom has confidence in Mary.	Tom percaya pada Mary.
Tom has low blood pressure.	Tom memiliki tekanan darah rendah.
Tom is a self-educated man.	Tom adalah seorang otodidak.
Tom is bleeding internally.	Tom mengalami pendarahan dalam.
Tom is impatient, isn't he?	Tom tidak sabaran, ya?
Tom is itching for a fight.	Tom sudah tidak tahan ingin berkelahi.
Tom is three years old now.	Tom saat ini berusia tiga tahun.
Tom is trying not to laugh.	Tom sedang berusaha untuk tidak tertawa
Tom kissed me on the mouth.	Tom mencumbuku.
Tom lives across the river.	Tom tinggal di seberang sungai.
Tom looks busy, doesn't he?	Bukankah Tom terlihat sibuk?
Tom might be seriously ill.	Tom mungkin sedang sakit berat.
Tom played a trick on Mary.	Tom menipu Mary.
Tom probably can't do that.	Tom mungkin tidak bisa melakukannya.
Tom promised me he'd do it.	Tom berjanji padaku bahwa dia akan melakukannya.
Tom seemed to be surprised.	Tom terlihat terkejut.
Tom shot Mary with a rifle.	Tom menembak Mary dengan senapan.
Tom speaks relatively fast.	Tom bicaranya relatif cepat.
Tom walked along the shore.	Tom berjalan di sepanjang tepi pantai.
Tom was working last night.	Tom bekerja semalam.
Tom will go there tomorrow.	Tom akan pergi ke sana besok.
Tom won't like that answer.	Tom tidak akan menyukai jawaban itu.
Tom's hair has turned gray.	Rambut Tom sudah memutih.
Turn the radio up a little.	Besarkan volume radionya sedikit.
Until he comes, I can't go.	Sebelum dia datang, aku tidak bisa pergi.
Wait here till I come back.	Tunggulah di sini hingga aku kembali.
We are about to leave here.	Kami baru saja akan pergi meninggalkan tempat ini.
We both have the same name.	Kita berdua punya nama yang sama.
We both have the same name.	Kami berdua punya nama yang sama.
We don't care what he does.	Kami tidak peduli dengan apa yang dia perbuat.
We don't know where we are.	Kami tidak tahu di mana kami berada.
We have breakfast at seven.	Kami sarapan pada pukul tujuh.
We make decisions together.	Kami membuat keputusan bersama.
We must always do our best.	Kita harus selalu melakukan yang terbaik.
We played soccer yesterday.	Kami bermain sepak bola kemarin.
We should obey our parents.	Kita harus mematuhi kedua orang tua kita.
We shouldn't have told Tom.	Harusnya kita tidak memberi tahu Tom.
We're going to the theater.	Kami akan pergi ke teater.
We've done the best we can.	Kami telah melakukan yang terbaik yang kami bisa.
We've got very little time.	Waktu kita sangat sedikit.
What a pity she can't come!	Sayang sekali dia tidak bisa datang.
What are you going to play?	Apa yang akan kamu mainkan?
What are you talking about?	Apa yang sedang kamu bicarakan?
What has become of his son?	Jadi apa anaknya sekarang?
What kind of stone is this?	Batu apa sih ini?
What's always on your mind?	Apa yang selalu membuatmu khawatir?
What's in fashion in Paris?	Apa yang sedang mengetren di Paris?
What's the matter with you?	Ada apa denganmu?
What's your favorite sport?	Apa olahraga favoritmu?
What's your marital status?	Apa status perkawinanmu?
When did you get to London?	Kapan Anda tiba di London?
When will you be back home?	Kapan kamu pulang ke rumah?
Where are you going anyway?	Memangnya kamu mau pergi ke mana?
Where did you get this key?	Di mana kamu mendapatkan kunci ini?
Where did you learn French?	Di mana Anda belajar bahasa Prancis?
Where does your uncle live?	Di mana pamanmu tinggal?
Where is the train station?	Stasiun kereta ada di mana?
Where is the train station?	Ada di mana stasiun kereta apinya?
Where is the train station?	Stasiun kereta apinya di mana?
Where would you like to go?	Kau ingin pergi ke mana?
Where would you like to go?	Anda ingin pergi ke mana?
Who's your favorite writer?	Penulis favoritmu siapa?
Why are we going to Boston?	Kenapa kita pergi ke Boston?
Why are you looking so sad?	Mengapa kamu terlihat begitu sedih?
Why are you so tired today?	Kenapa kau sangat lelah hari ini?
Why don't you have a party?	Bagaimana kalau mengadakan pesta?
Would you please step back?	Bisakah Anda mundur ke belakang?
Would you say it once more?	Maukah kau mengatakannya sekali lagi?
Wow! It's been a long time.	WOW! sudah sekian lama.
You and I are good friends.	Kau dan aku adalah sahabat.
You are always complaining.	Kamu selalu saja mengeluh.
You are deceiving yourself.	Kamu sedang menipu dirimu sendiri.
You can depend on his help.	Kamu bisa mengandalkan bantuannya.
You can smoke in this room.	Kamu boleh merokok di ruangan ini.
You did what you had to do.	Kamu telah melakukan apa yang harus kamu lakukan
You haven't changed at all.	Kau tidak berubah sama sekali.
You lied to me, didn't you?	Kau berbohong, kan?
You make me feel so guilty.	Kamu membuatku merasa sangat bersalah.
You must fulfill your duty.	Kau harus memenuhi kewajibanmu.
You must perform your duty.	Kau harus melaksanakan tugasmu.
You should be more careful.	Kau harus lebih berhati-hati.
You speak English fluently.	Kau berbicara bahasa Inggris dengan fasih.
You'd better not wait here.	Kamu sebaiknya tidak menunggu di sini.
Your work is below average.	Pekerjaanmu di bawah rata-rata.
Apples are scarce this year.	Buah apel sedang langka tahun ini.
Are we going to attack them?	Anda tidak perlu mengatakan apa-apa lagi.
By the way, how old are you?	Ngomong-ngomong,berapa umurmu?
Can I take your word for it?	Bisakah aku memegang kata-katamu?
Can you come back on Monday?	Bisakah Anda kembali pada hari Senin?
Come to the party, will you?	Datanglah ke pesta, oke?
Could you sign here, please?	Bisa tolong Anda tanda tangan di sini?
Did you buy a return ticket?	Apa kau membeli tiket pulang?
Did you buy anything to eat?	Apakah Anda membeli sesuatu untuk dimakan?
Did you buy anything to eat?	Apa kau membeli sesuatu untuk dimakan?
Didn't anything else happen?	Apakah tidak ada hal lain yang terjadi?
Do you believe in evolution?	Apa kau percaya pada evolusi?
Do you ever think about Tom?	Pernahkah kamu memikirkan tentang Tom?
Do you have any soft drinks?	Apakah kamu punya minuman ringan?
Do you have time on Tuesday?	Apakah Anda ada waktu luang di hari Selasa?
Do you know what time it is?	Apa kamu tahu jam berapa sekarang?
Do you need a place to stay?	Apakah Anda butuh tempat tinggal?
Do you want anything to eat?	Apa kau mau makan?
Do you want anything to eat?	Apa kau ingin makan sesuatu?
Do you want it gift wrapped?	Apa Anda ingin ini dibungkus?
Do you want to eat anything?	Apa kau ingin makan sesuatu?
Don't be noisy in this room.	Jangan ribut di ruangan ini.
Don't make me go back there.	Jangan membuatku kembali ke sana.
Don't walk alone after dark.	Jangan berjalan seorang diri setelah hari menjadi gelap.
First think, and then speak.	Pikir dulu, lalu ngomong
Have you ever been to Japan?	Apakah kamu pernah ke Jepang?
Have you ever donated blood?	Apa kau pernah mendonorkan darah?
Have you ever eaten insects?	Apakah Anda pernah makan serangga?
Have you forgotten about me?	Apakah kau telah melupakanku?
Have you had dinner already?	Kamu sudah makan malam?
Have you had dinner already?	Apa kau sudah makan malam?
Have you washed the car yet?	Sudahkah kau mencuci mobilnya?
Have you washed the car yet?	Apa kau sudah mencuci mobilnya?
He breathed his last breath.	Dia menghembuskan nafas terakhirnya.
He did a very foolish thing.	Dia melakukan hal yang sangat bodoh.
He does not watch TV at all.	Dia tidak menonton TV sama sekali.
He doesn't care about money.	Dia tidak peduli dengan uang.
He doesn't want you to know.	Dia tidak ingin kamu tahu.
He feels a lot better today.	Dia merasa jauh lebih baik hari ini.
He gave me his phone number.	Dia memberikan saya nomor teleponnya.
He pretended to be sleeping.	Dia pura-pura tidur.
He scarcely ever watches TV.	Dia jarang nonton TV.
He was caught by the police.	Dia telah ditangkap oleh polisi.
His advice was very helpful.	Saran darinya sangat bermanfaat.
How did dinner go yesterday?	Bagaimana makan malam kemarin?
How long have you been gone?	Sudah berapa lama kamu pergi?
How long will you stay here?	Berapa lama kau akan tinggal di sini?
How much did you guys spend?	Berapa banyak yang kalian habiskan?
How much fabric did you buy?	Berapa banyak kain yang kau beli?
How much time will you need?	Berapa banyak waktu yang kau butuhkan?
How often do the buses come?	Seberapa sering busnya datang?
Hurry up, or you'll be late.	Cepat, nanti terlambat.
I am dying to see her again.	Aku benar-benar rindu untuk bertemu dengannya lagi.
I bought a hat at the store.	Aku membeli topi di toko itu.
I can't speak French at all.	Saya sama sekali tidak bisa berbahasa Prancis.
I can't stand it any longer.	Aku tidak mampu menahannya lebih lama lagi.
I couldn't possibly do that.	Aku tidak bisa melakukannya.
I don't consider him honest.	Saya tidak menganggap dia jujur.
I don't feel like going out.	Aku sedang malas pergi keluar.
I expect you to be punctual.	Aku ingin kamu selalu tepat waktu.
I forgot to lock the drawer.	Aku lupa mengunci lacinya.
I have just finished eating.	Saya baru saja selesai makan.
I have no knife to cut with.	Aku tidak punya pisau untuk memotongnya.
I have nothing better to do.	Tidak ada hal lain yang bisa kulakukan.
I have read the book before.	Aku pernah membaca buku itu sebelumnya.
I haven't met him even once.	Aku tidak pernah sekalipun bertemu dengannya.
I invited them to the party.	Aku mengundang mereka ke pesta.
I just don't have much time.	Aku cuma tidak punya banyak waktu.
I know where you want to be.	Aku tahu di mana kau ingin berada.
I pushed Tom into the water.	Saya mendorong Tom kedalam air.
I really do just want to go.	Aku benar-benar cuma ingin pergi.
I really shouldn't tell you.	Sungguh seharusnya aku tidak memberitahumu.
I still think Tom is guilty.	Saya masih berpikir Tom bersalah.
I think Tom should eat more.	Aku rasa Tom harus makan lebih banyak.
I thought you could help me.	Aku kira kau bisa membantuku.
I usually go to bed at nine.	Aku biasanya pergi tidur jam sembilan.
I want to ask you something.	Aku ingin menanyakan sesuatu padamu.
I want to be as tall as Tom.	Saya mau setinggi Tom
I want to know what that is.	Aku ingin tahu apa itu.
I want you guys to meet Tom.	Aku ingin kalian bertemu dengan Tom.
I was absent from the party.	Aku tidak hadir dalam pesta itu.
I went to the zoo yesterday.	Aku pergi ke kebun binatang kemarin.
I will get it back from Tom.	Aku akan mengambilnya kembali dari Tom.
I will go to Tokyo tomorrow.	Aku akan pergi ke Tokyo besok.
I wish we had your problems.	Masalah kami lebih buruk ketimbang masalah kalian.
I wish you a happy birthday.	Aku ucapkan selamat ulang tahun.
I wish you were close to me.	Aku harap kau berada dekat denganku.
I wish you'd told me before.	Andai saja kau memberitahuku sebelumnya.
I wonder what it feels like.	Aku penasaran bagaimana rasanya.
I would rather stay at home.	Aku lebih memilih tinggal di rumah.
I'd like to know the reason.	saya ingin tahu alasannya
I'd like to see your father.	Aku ingin bertemu dengan ayahmu.
I'll be back within an hour.	Aku akan kembali dalam waktu satu jam.
I'll get you another lawyer.	Aku akan mencarikanmu pengacara yang lain.
I'll have to think about it.	Aku akan memikirkannya dulu.
I'm always surprised by him.	Dia selalu membuatku terkejut.
I'm glad I was able to help.	Saya senang bisa membantu.
I'm just looking, thank you.	Tidak terima kasih, saya hanya melihat-lihat saja.
I'm looking for another job.	Saya sedang mencari pekerjaan yang lain.
I'm not sure where to start.	Aku tidak tahu mulai dari mana.
I'm sorry to disappoint you.	Aku minta maaf sudah mengecewakanmu.
I'm taking a walk in a park.	Aku berjalan-jalan di taman.
I've been waiting for hours.	I telah menunggu beberapa jam.
I've caught a terrible cold.	Aku terkena flu berat.
I've climbed Mt. Fuji twice.	Aku telah mendaki gunung Fuji dua kali.
I've never climbed Mt. Fuji.	Aku belum pernah mendaki gunung Fuji.
I've updated the blog entry.	Aku sudah memperbarui entri blognya.
In Japan, it's now 3:00 a.m.	Di Jepang, sekarang 3:00 pagi.
Is something wrong with you?	Kamu kenapa?
Is there a cat on the table?	Apa ada kucing di atas meja?
Is this water okay to drink?	Apa air ini baik untuk diminum?
It happened a long time ago.	Itu terjadi dahulu kala.
It is more than I can stand.	Ini sudah diluar batas kemampuanku.
It is nice to see you again.	Senang bertemu kamu lagi.
It takes courage to succeed.	Diperlukan keberanian untuk berhasil.
It's an ecological disaster.	Ini adalah sebuah bencana ekologis.
It's been snowing all night.	Salju turun sepanjanng malam.
It's good that Tom did that.	Baguslah jika Tom yang melakukannya.
It's only a ten-minute walk.	Hanya sepuluh menitan berjalan kaki.
It's six degrees below zero.	Enam derajat dibawah nol.
It's very cold this evening.	Sore ini sangat dingin.
Leave the book where it was.	Tinggalkan buku di tempat asalnya.
Let me give you some advice.	Aku akan memberimu sedikit nasihat.
Let us know where you'll be.	Beritahu kami di mana kamu berada?
Let your hair down a little.	Santai saja, tidak usah khawatir.
Let's go back to the office.	Mari kembali ke kantor.
Let's talk over a cold beer.	Mari kita mengobrol sambil minum bir dingin.
Lincoln set the slaves free.	Lincoln membebaskan para budak itu.
Maybe I shouldn't stay here.	Mungkin seharusnya aku tidak menetap di sini.
Most people think I'm crazy.	Banyak orang mengira aku gila.
My favorite sport is skiing.	Olahraga favoritku adalah bermain ski.
My grandfather was a farmer.	Kakekku dulunya adalah seorang petani.
My hobby is writing stories.	Hobiku menulis cerita.
My house faces to the south.	Rumahku menghadap selatan.
Open your book to page nine.	Buka bukumu ke halaman sembilan.
Parties can be a lot of fun.	Pesta bisa jadi sangat menyenangkan.
Perhaps he missed the train.	Mungkin dia tadi ketinggalan kereta.
Please don't make fun of me.	Tolong jangan permainkan saya.
Please tell me your address.	Tolong beritahukan alamat Anda.
Say goodbye to your friends.	Pamitlah pada teman-temanmu.
See what the problem is, OK?	Lihatlah permasalahannya, oke?
She allowed him to go alone.	Ia membolehkannya pergi sendirian.
She didn't tell me her name.	Dia tidak memberitahuku namanya.
She looked at me and smiled.	Dia melihatku dan tersenyum.
She was robbed of her purse.	Dompetnya dicuri.
Thank you for your interest.	Terima kasih atas ketertarikan Anda.
Thanks for your quick reply.	Terima kasih telah membalasnya dengan cepat.
That looks suspicious to me.	Itu tampak mencurigakan bagiku.
That's the only possibility.	Hanya itu kemungkinannya.
That's what I'm looking for.	Itu yang sedang kucari.
The audience appeared bored.	Penonton tersebut nampak bosan.
The audience appeared bored.	Para hadirin nampak bosan.
The gate is closed at eight.	Gerbangnya ditutup jam delapan.
The island is warm all year.	Pulau itu hangat sepanjang tahun.
The meeting begins at three.	Rapatnya akan dimulai pada pukul tiga.
The meeting was almost over.	Rapatnya sudah hampir selesai.
The roof of my house is red.	Atap rumahku merah.
The sky has become overcast.	Langitnya menjadi mendung.
The taxi is waiting outside.	Taksi itu menunggu di luar.
The work was very difficult.	Pekerjaan itu sangat sulit.
This bottle holds one liter.	Botol ini memuat satu liter.
This is all very disturbing.	Semua ini sangat menganggu.
This is his umbrella, right?	Ini payungnya, kan?
This method is sure to work.	Metode ini pasti bekerja.
This room has three windows.	Ada tiga jendela di ruangan ini.
This room is not very large.	Ruangan ini tidak terlalu besar.
This room will soon heat up.	Ruangan ini akan segera menjadi lebih hangat.
This rose is very beautiful.	Mawar ini sangat indah.
To love life is to love God.	Mencintai kehidupan adalah mencintai Tuhan.
Tom and I both like sailing.	Tom dan aku sama-sama suka berlayar.
Tom doesn't even own a suit.	Bahkan sebuah jas saja Tom tidak punya.
Tom finally gave up smoking.	Akhirnya Tom berhenti merokok.
Tom got home after midnight.	Tom sampai di rumah lewat tengah malam.
Tom has everything he needs.	Tom memiliki semua yang ia butuhkan.
Tom is a university student.	Tom adalah mahasiswa.
Tom is obsessed with trains.	Tom terobsesi dengan kereta api.
Tom is peeling the potatoes.	Tom sedang mengupasi kentang-kentangnya.
Tom is playing with his son.	Tom bermain dengan anak laki-lakinya.
Tom is relocating to Boston.	Tom pindah ke Boston.
Tom is waiting for Mary now.	Tom sedang menunggu Mary sekarang.
Tom isn't going to hurt you.	Tom tidak akan menyakitimu.
Tom knows there's a problem.	Tom tahu ada masalah.
Tom left school an hour ago.	Tom meninggalkan sekolah sejam yang lalu.
Tom looks a little confused.	Tom terlihat sedikit kebingungan.
Tom looks tired, doesn't he?	Bukankah Tom terlihat lelah?
Tom misses his family a lot.	Tom sangat merindukan keluarganya.
Tom never even said goodbye.	Tom tidak pernah mengatakan selamat tinggal.
Tom picked a lot of flowers.	Tom memetik banyak bunga.
Tom proofread my manuscript.	Tom memeriksa tulisan saya.
Tom ran back into the woods.	Tom berlari kembali ke hutan.
Tom ran out into the street.	Tom berlari keluar ke jalan.
Tom really likes Mary a lot.	Tom sangat menyukai Mary.
Tom said that for the laugh.	Tom mengatakannya sebagai hiburan.
Tom says everyone does that.	Tom mengatakan semua orang melakukannya.
Tom seems a little confused.	Tom sepertinya agak kebingungan.
Tom seems to be sympathetic.	Tom terlihat bersimpati.
Tom shouldn't even be there.	Tom bahkan tidak semestinya berada di sana.
Tom thanked me for the gift.	Tom berterima kasih atas hadiah yang aku berikan padanya.
Tom tried to commit suicide.	Tom mencoba untuk bunuh diri.
Tom was completely worn out.	Tom benar-benar kelelahan.
Tom wished he had more time.	Tom berharap dia memiliki waktu yang lebih panjang.
Tomorrow I'm going to Paris.	Besok saya pergi ke Paris.
Tomorrow is when I get paid.	Besok adalah hari di mana aku akan mendapatkan gaji.
Try this on. It's your size.	Cobalah yang ini. Ini ukuranmu.
Wake me up at eight o'clock.	Bangunkan saya pada pukul delapan
Wake me up at eight o'clock.	Bangunkan aku jam delapan tepat.
We ate a very delicious pie.	Kami memakan pai yang sangat enak.
We could just leave it here.	Kita bisa meninggalkannya di sini.
We have two television sets.	Kami memiliki dua buah televisi.
We leave tomorrow afternoon.	Kami berangkat besok siang.
We went to London last year.	Kami pergi ke London tahun lalu.
We were next-door neighbors.	Kami dulu saling bertetangga.
We'll see who answers first.	KIta lihat siapa yang akan menjawabnya terlebih dahulu.
We're going to watch a play.	Kami akan pergi melihat sebuah pementasan drama.
We've made a final decision.	Kami telah membuat keputusan terakhir.
Well, should we get started?	Baiklah, mau mulai sekarang?
What are you all looking at?	Kamu sedang melihat apa?
What are you going to drink?	Kamu mau minum apa?
What are you going to drink?	Kau mau minum apa?
What are you going to drink?	Mau minum apa?
What are you going to drink?	Apa yang ingin kau minum?
What are you thinking about?	Apa yang sedang kamu pikirkan?
What do you think of reggae?	Apa pendapat Anda tentang Reggae?
What do you want to do next?	Apa yang ingin kamu lakukan selanjutnya?
What he said really hurt me.	Perkataannya benar-benar menyakitkan.
What is the matter with you?	Ada apa denganmu?
What is your favorite sport?	Apa olahraga favoritmu?
What is your favorite sport?	Apa olahraga favorit Anda?
What size shoes do you wear?	Berapa ukuran sepatu yang kamu kenakan?
What sport do you like best?	Olahraga apa yang paling Anda sukai?
What time does school begin?	Jam berapa kegiatan sekolah akan dimulai?
What time should I check in?	Pada pukul berapa saya harus lapor masuk?
What will the neighbors say?	Apa kata tetangga?
What will you have to drink?	Kamu mau minum apa?
What will you have to drink?	Kau mau minum apa?
What will you have to drink?	Mau minum apa?
What would I do without you?	Apa yang akan kulakukan tanpamu?
What's your favorite number?	Apa angka favoritmu?
When did you move to Berlin?	Kapan kamu pindah ke Berlin?
When is a good time for you?	Kamu bisanya kapan?
Where did you buy that book?	Di mana kamu membeli buku itu?
Where do you think he lives?	Menurutmu dia tinggal di mana?
Which house did you live in?	Rumah mana yang kamu tinggali?
Which house did you live in?	Kau tinggal di rumah yang mana?
Which is your favorite team?	Tim mana yang kamu favoritkan?
Which team are you a fan of?	Tim mana yang kamu gemari?
Who is your favorite author?	Pengarang favoritmu siapa?
Why are you in such a hurry?	Mengapa kamu terburu-buru seperti itu?
Why are you in your pajamas?	Kenapa kamu mengenakan piyama?
Why did she come home early?	Kenapa dia pulang lebih awal?
Why do horses wear blinders?	Kenapa kuda memakai pelindung mata?
Why not have dinner with us?	Kenapa tidak makan malam bersama kami?
Would you like to go abroad?	Apa kamu ingin pergi ke luar negeri?
You can go home if you like.	Kalau kamu mau, kamu bisa pulang lebih awal.
You do want that, don't you?	Kamu menginginkannya, bukan?
You have a beautiful sister.	Saudarimu cantik.
You have very acute hearing.	Kamu memiliki pendengaran yang tajam.
You look as healthy as ever.	Kau terlihat sehat seperti biasanya.
You may leave your bag here.	Kau bisa meninggalkan tasmu di sini.
You need to be more careful.	Kau perlu lebih berhati-hati lagi.
You need to be more careful.	Kau perlu lebih cermat lagi.
You probably don't remember.	Kamu mungkin tidak mengingatnya.
You should just talk to Tom.	Kamu seharusnya langsung berbicara dengan Tom.
You shouldn't be alone, Tom.	Anda seharusnya tidak sendirian, Tom.
You won't be late, will you?	Kau tidak akan terlambat, bukan?
You'd better leave us alone.	Tinggalkan kami sendiri.
You're really a hard worker.	Kau benar-benar seorang pekerja keras.
You're thirty minutes early.	Kamu lebih cepat tiga puluh menit.
A banker's life is difficult.	Kehidupan seorang bankir itu sulit.
All the members were present.	Semua anggota hadir.
All who knew him admired him.	Semua orang yang mengenalnya mengaguminya.
Are you angry at what I said?	Apakah kamu marah pada apa yang aku katakan?
Are you guys sure about this?	Apa kalian yakin dengan hal ini?
Are you meeting someone here?	Apakah kau akan menemui seseorang di sini?
Are you the person in charge?	Apakah kau adalah orang yang bertugas di sini?
Both of his parents are well.	Kedua orang tuanya baik-baik saja.
Can you fix the broken radio?	Bisakah kau memperbaiki radio yang rusak itu?
Could you send me a brochure?	Bisakah kau mengirimiku sebuah brosur?
Do you have feelings for Tom?	Apakah kamu memiliki perasaan terhadap Tom?
Do you have something to say?	Apa ada sesuatu yang ingin kau katakan?
Do you want some pumpkin pie?	Apa kamu mau beberapa potong kue pai?
Do you want something to eat?	Apa kau ingin makan sesuatu?
Do you want to eat something?	Apa kau ingin makan sesuatu?
Do you want to give it a try?	Anda mau mencobanya?
Don't expect too much of him.	Jangan terlalu berharap padanya.
Don't expect too much of him.	Jangan berharap terlalu banyak padanya.
Don't forget to pay the rent.	Jangan lupa untuk membayar biaya sewanya.
Don't make a scene in public.	Jangan buat keributan di depan umum.
Don't make noise. Keep quiet.	Jangan berisik. Harap tenang.
Don't underestimate my power.	Jangan meremehkan kekuatanku.
Everybody speaks well of her.	Semua orang memuji dirinya.
Excuse me, have you seen Tom?	Permisi, apakah kamu melihat Tom dimana?
Excuse me, is Tom here today?	Permisi, apakah Tom di sini hari ini?
Fill it with regular, please.	Tolong isi penuh dengan yang reguler.
Have you bought a watermelon?	Kamu sudah beli semangka?
Have you ever been to France?	Apa kau pernah ke Prancis?
Have you ever been to Hawaii?	Pernahkah kau ke Hawaii?
Have you ever been to Kyushu?	Apa kau pernah pergi ke Kyushu?
Have you ever been to London?	Kau pernah pergi ke London?
Have you ever been to London?	Apa kau pernah pergi ke London?
Have you ever been to Mexico?	Apakah Anda pernah ke Meksiko?
Have you ever been to Mexico?	Apakah kamu pernah ke Meksiko?
Have you ever been to Mexico?	Apakah kalian pernah ke Meksiko?
Have you ever been to Mexico?	Pernah ke Meksiko?
He always tells vulgar jokes.	Dia selalu melontarkan candaan vulgar.
He drove the truck to Dallas.	Ia membawa truknya ke Dallas.
He hasn't talked to me since.	Dia sudah tidak berbicara dengan saya lagi sejak itu.
He is allergic to house dust.	Dia alergi pada debu rumah.
He is anxious to go with you.	Dia ingin sekali pergi denganmu.
He is eager to become famous.	Dia ingin menjadi terkenal.
He is known as a rock singer.	Dia dikenal sebagai seorang penyanyi rok.
He is trying to quit smoking.	Dia sedang berusaha untuk berhenti merokok.
He is, indeed, a hard worker.	Dia memang seorang pekerja keras.
He plays the piano very well.	Dia memainkan piano dengan sangat baik.
He promised he would tell us.	Dia telah berjanji akan memberi tahu kita.
He urged us to obey the rule.	Dia meminta kami untuk mematuhi peraturan.
He's collecting various data.	Dia mengumpulkan berbagai data.
His data is often inaccurate.	Datanya sering tidak akurat.
His new film is worth seeing.	Film barunya layak ditonton.
How about eating out with me?	Mau pergi makan bersamaku?
How about going to the movie?	Bagaimana kalau pergi ke bioskop?
How are you feeling now, Tom?	Bagaimana perasaanmu sekarang, Tom?
How does Tom feel about that?	Apa yang Tom rasakan tentang hal itu?
How does Tom know about that?	Bagaimana Tom mengetahui hal itu?
How long did you stay abroad?	Berapa lama kau tinggal di luar negeri?
How many rackets do you have?	Berapa banyak raket yang kau miliki?
How was your summer vacation?	Bagaimana liburan musim panas Anda?
Human trafficking is a crime.	Perdagangan manusia adalah tindak pidana.
I advise you to stop smoking.	Saya sarankan Anda untuk berhenti merokok.
I already think you're crazy.	Aku sudah berpikir kalau kau gila.
I am going to Tokyo tomorrow.	Aku akan pergi ke Tokyo besok.
I bought a round-trip ticket.	Aku membeli tiket pulang pergi.
I bought two bottles of milk.	Saya membeli susu dua botol.
I came near to being drowned.	Aku hampir saja tenggelam.
I can speak English a little.	Saya bisa berbicara bahasa Inggris sedikit.
I can speak English a little.	Saya kurang mahir berbicara dalam bahasa inggris.
I can't bear this any longer.	Aku sudah tidak tahan dengan hal ini.
I can't tell you what I know.	Aku tidak bisa memberitahumu apa yang aku ketahui.
I didn't say this was heaven.	Aku tidak berkata bahwa ini adalah surga.
I do it every Sunday morning.	Saya melakukannya setiap Minggu pagi.
I don't like stubborn people.	Saya tidak suka orang keras kepala.
I don't trust him any longer.	Aku sudah tidak lagi mempercayai dia.
I don't trust him any longer.	Aku sudah tidak percaya padanya.
I don't want to live forever.	Aku tidak ingin hidup selamanya.
I generally have lunch there.	Aku biasa makan siang di sana.
I have absolute trust in you.	Aku percaya sepenuhnya padamu.
I have nothing to say to you.	Tidak ada yang ingin kukatakan padamu.
I have read this book before.	Aku pernah membaca buku ini sebelumnya.
I have seen that girl before.	Aku pernah melihat gadis itu sebelumnya.
I have to go to the bathroom.	Saya harus pergi ke kamar mandi.
I haven't seen him for years.	Aku tidak pernah bertemu dengannya selama bertahun-tahun.
I hope nothing's been broken.	Aku harap tidak ada yang dirusak.
I hope this is the right one.	Aku harap ini yang benar.
I intend to be there by 2:30.	Saya berencana tiba di sana pada pukul 2:30.
I know it was you who did it.	Aku tahu kalau kamu yang telah melakukannya.
I need to go to the bathroom.	Saya harus pergi ke kamar mandi.
I ordered a book from London.	Aku memesan sebuah buku dari London.
I prefer to travel in my car.	Saya lebih memilih berpergian dengan mobil.
I should've told Tom earlier.	Seharusnya aku memberitahu Tom lebih awal.
I think Tom will return soon.	Kurasa Tom akan segera kembali.
